City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,port mathurin,-19.6833,63.4167,24.87,81,7,8.0,MU,1698692464
139,as sulayyil,20.4607,45.5779,27.14,27,97,5.47,SA,1698692465
140,papatowai,-46.5619,169.4708,8.85,90,100,0.59,NZ,1698692465
141,pandan,14.0453,124.1694,26.16,89,100,4.64,PH,1698692466
142,kostomuksha,64.571,30.5767,-6.3,87,75,1.23,RU,1698692466
143,igarka,67.4667,86.5833,-17.41,96,91,1.42,RU,1698692466
144,burang,30.25,81.1667,-0.16,81,87,1.36,CN,1698692467
145,olonkinbyen,70.9221,-8.7187,1.04,66,100,5.67,SJ,1698692468
146,hasaki,35.7333,140.8333,11.22,60,23,3.74,JP,1698692468
147,arraial do cabo,-22.9661,-42.0278,30.98,62,75,3.6,BR,1698692469
148,reguiba,33.5639,6.7033,30.03,13,100,3.6,DZ,1698692469
149,rio grande,-32.035,-52.0986,21.06,86,100,3.7,BR,1698692469
150,castlegar,49.2998,-117.6689,5.72,34,17,1.15,CA,1698692234
151,oamaru,-45.0784,170.9801,11.32,91,100,2.79,NZ,1698692469
152,suileng,47.25,127.0833,1.76,31,100,3.26,CN,1698692470
153,tshabong,-26.05,22.45,19.59,53,0,10.09,BW,1698692470
154,luderitz,-26.6481,15.1594,18.89,48,0,4.18,NA,1698692470
155,kenora,49.8167,-94.4337,-2.46,86,100,4.63,CA,1698692471
156,ponta delgada,37.7333,-25.6667,18.4,72,20,3.09,PT,1698692435
157,ndele,8.4109,20.6473,25.59,54,8,1.24,CF,1698692471
158,es castell,39.8795,4.2854,20.38,83,20,7.2,ES,1698692471
159,phan thiet,10.9333,108.1,25.36,87,99,2.01,VN,1698692472
160,vadso,70.0744,29.7487,-1.91,86,75,5.66,NO,1698692472
161,yanchep,-31.55,115.6833,15.07,58,88,7.15,AU,1698692472
162,hobyo,5.3505,48.5268,25.96,81,100,4.13,SO,1698692473
163,suva,-18.1416,178.4415,24.71,100,75,1.54,FJ,1698692473
164,dalandzadgad,43.5708,104.425,6.42,65,2,2.14,MN,1698692473
165,nemuro,43.3236,145.575,9.45,80,6,4.29,JP,1698692473
166,buka,40.8108,69.1986,18.92,38,100,1.53,UZ,1698692473
167,fisterra,42.9049,-9.2629,16.12,73,12,8.72,ES,1698692474
168,itoman,26.1247,127.6694,22.43,73,20,2.57,JP,1698692474
169,puerto madryn,-42.7692,-65.0385,12.49,40,95,8.27,AR,1698692474
170,tamanrasset,22.785,5.5228,26.95,13,40,2.06,DZ,1698692474
171,enewetak,11.3474,162.3373,28.69,78,100,8.7,MH,1698692475
172,kotido,2.9806,34.1331,21.66,76,100,5.98,UG,1698692475
173,cabo san lucas,22.8909,-109.9124,30.9,62,0,3.22,MX,1698692429
174,kampung tanjung karang,3.4242,101.1849,25.42,87,100,1.54,MY,1698692477
175,ilulissat,69.2167,-51.1,4.01,48,0,6.69,GL,1698692477
176,berrouaghia,36.1352,2.9109,15.83,68,100,1.73,DZ,1698692478
177,avarua,-21.2078,-159.775,25.03,73,40,6.17,CK,1698692478
178,palmer,42.1584,-72.3287,10.92,86,100,2.57,US,1698692203
179,nyurba,63.2842,118.3319,-13.56,98,100,1.57,RU,1698692479
180,papao,-17.75,-149.55,27.82,83,16,9.07,PF,1698692479
181,recani,31.2846,-4.2688,25.55,22,83,2.47,MA,1698692479
182,alice springs,-23.7,133.8833,16.75,20,100,2.57,AU,1698692479
183,cockburn town,21.4612,-71.1419,29.98,70,40,2.57,TC,1698692480
184,ihosy,-22.4,46.1167,23.03,69,35,2.86,MG,1698692480
185,caleta de carquin,-11.0925,-77.6267,22.02,76,100,4.98,PE,1698692481
186,kudat,6.8837,116.8477,25.16,100,100,1.03,MY,1698692481
187,st. john's,47.5649,-52.7093,6.49,50,75,7.2,CA,1698692411
188,pisco,-13.7,-76.2167,23.03,64,0,4.63,PE,1698692481
189,kingston,17.997,-76.7936,31.53,75,20,3.6,JM,1698692253
190,simpang,-1.2667,104.0833,24.41,92,96,1.12,ID,1698692482
191,raduzhny,62.0961,77.475,-12.03,96,20,1.76,RU,1698692482
192,touros,-5.1989,-35.4608,27.25,63,4,7.22,BR,1698692465
193,georgetown,5.4112,100.3354,27.96,89,20,2.68,MY,1698692309
194,tangalle,6.024,80.7911,24.09,87,37,1.62,LK,1698692339
195,cooma,-36.2333,149.1333,7.29,66,0,3.74,AU,1698692454
196,roma,43.2128,-75.4557,7.51,92,100,5.14,US,1698692188
197,afaahiti,-17.75,-149.2833,26.93,83,49,7.71,PF,1698692483
198,basse-terre,16.1667,-61.6667,29.77,66,20,6.17,GP,1698692484
199,toliara,-23.35,43.6667,23.5,74,48,6.39,MG,1698692484
200,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1698692484
201,alofi,-19.0595,-169.9187,24.94,78,100,4.12,NU,1698692485
202,kupang,-10.1667,123.5833,26.32,83,10,2.06,ID,1698692485
203,ust-tsilma,65.441,52.1498,-5.77,79,94,4.02,RU,1698692485
204,beyneu,45.3167,55.2,9.02,74,1,4.37,KZ,1698692485
205,belmonte,-15.8631,-38.8828,26.44,61,100,4.7,BR,1698692486
206,vilyuchinsk,52.9306,158.4028,0.52,81,74,2.91,RU,1698692486
207,m'sila,35.7058,4.5419,21.76,45,21,3.99,DZ,1698692487
208,conception bay south,47.4999,-52.9981,6.36,52,100,4.96,CA,1698692487
209,mikkeli,61.6886,27.2723,-1.94,93,92,1.03,FI,1698692487
210,salalah,17.0151,54.0924,26.11,71,100,1.92,OM,1698692487
211,tuy hoa,13.0833,109.3,25.07,91,99,3.12,VN,1698692487
212,bonthe,7.5264,-12.505,26.89,80,78,3.23,SL,1698692488
213,pyt-yakh,60.7499,72.8582,-9.08,94,59,2.83,RU,1698692488
214,port alfred,-33.5906,26.891,15.1,87,84,1.34,ZA,1698692488
215,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698692488
216,dongcun,36.7767,121.1597,17.83,89,0,4.1,CN,1698692489
217,weligama,5.9667,80.4167,24.58,88,98,1.67,LK,1698692489
218,inarajan village,13.2736,144.7484,28.33,90,100,5.05,GU,1698692489
219,la'ie,21.6477,-157.9253,28.01,74,7,2.24,US,1698692489
220,valparaiso,-33.0393,-71.6273,19.13,66,0,6.17,CL,1698692409
221,longyearbyen,78.2186,15.6401,0.91,69,75,4.63,SJ,1698692491
222,lebu,-37.6167,-73.65,11.32,56,56,5.24,CL,1698692492
223,ribeira do pombal,-10.8344,-38.5358,35.57,22,93,4.93,BR,1698692492
224,jamestown,42.097,-79.2353,6.77,93,100,1.34,US,1698692325
225,sastre,-31.7676,-61.8289,14.53,74,100,6.07,AR,1698692492
226,bemidji,47.4736,-94.8803,-1.08,94,100,4.12,US,1698692492
227,nar'yan-mar,67.6713,53.087,-6.61,94,100,6.71,RU,1698692492
228,grajau,-5.8194,-46.1386,39.84,18,52,2.47,BR,1698692465
229,fortuna,40.5982,-124.1573,19.96,52,0,2.57,US,1698692493
230,tisaiyanvilai,8.3333,77.8833,25.28,85,83,5.15,IN,1698692494
231,argo,37.6333,22.7333,20.18,73,0,0.58,GR,1698692494
232,tralee,52.2704,-9.7026,9.14,93,0,1.03,IE,1698692495
233,mahajanga,-15.7167,46.3167,28.01,83,40,3.09,MG,1698692495
234,tocopilla,-22.092,-70.1979,21.03,63,50,4.53,CL,1698692496
235,nadi,-17.8,177.4167,23.0,88,20,1.54,FJ,1698692496
236,yoichi,43.2039,140.7703,8.86,83,62,3.57,JP,1698692496
237,saguenay,48.4168,-71.0657,1.71,90,100,5.14,CA,1698692402
238,machali,-34.1833,-70.6667,12.6,82,100,2.57,CL,1698692463
239,ajaccio,42.0,8.9167,20.03,88,75,1.54,FR,1698692453
240,mount pearl,47.5166,-52.7813,6.03,50,75,7.2,CA,1698692337
241,sterlitamak,53.6246,55.9502,0.23,84,100,4.33,RU,1698692497
242,benguela,-12.5763,13.4055,24.51,81,15,2.72,AO,1698692497
243,juhaynah,26.6732,31.4976,27.18,39,0,3.16,EG,1698692497
244,saint-pierre,-21.3393,55.4781,23.82,78,0,1.54,RE,1698692497
245,konarka,19.9,86.1167,23.22,72,29,1.78,IN,1698692497
246,korla,41.7597,86.1469,13.27,37,7,2.39,CN,1698692498
247,lionel town,17.8101,-77.2406,31.94,61,100,3.32,JM,1698692498
248,union,40.6334,-74.2663,16.95,81,100,4.12,US,1698692498
249,porto novo,6.4965,2.6036,27.9,83,100,2.49,BJ,1698692295
250,el nido,11.1858,119.3956,27.79,77,100,2.65,PH,1698692498
251,pucon,-39.2822,-71.9543,6.05,96,99,0.48,CL,1698692499
252,miramichi,47.0043,-65.4654,-0.08,91,100,1.33,CA,1698692269
253,manokwari,-0.8667,134.0833,25.35,83,100,0.58,ID,1698692499
254,baardheere,2.3446,42.2764,26.17,76,8,1.7,SO,1698692499
255,al khums,32.6486,14.2619,25.8,52,19,6.41,LY,1698692500
256,praia da vitoria,38.7333,-27.0667,19.14,72,20,5.36,PT,1698692501
257,ghat,24.9647,10.1728,27.72,15,0,3.18,LY,1698692501
258,saldanha,-33.0117,17.9442,22.03,47,0,7.73,ZA,1698692501
259,cartagena,10.3997,-75.5144,30.79,74,20,3.6,CO,1698692401
260,waddan,29.1614,16.139,24.29,30,95,3.73,LY,1698692501
261,welver,51.6167,7.9667,13.91,91,100,2.84,DE,1698692502
